NAME,FPTS_WK1,FPTS_WK2,FPTS_WK3,FPTS_WK4,FPTS_WK5,FPTS_WK6,FPTS_WK7,FPTS_WK8,FPTS_WK9,FPTS_WK10,FPTS_WK11,FPTS_WK12,FPTS_WK13,FPTS_WK14,FPTS_WK15,FPTS_WK16,FPTS_WK17,FPTS_WK18,TEAM
Aaron Rodgers,25.7,10.4,11.7,12.8,0.0,17.5,22.6,16.8,12.1,6.4,9.4,0.0,2.7,21.5,17.0,15.5,7.3,17.8,PIT
Aidan O'Connell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,LV
Baker Mayfield,22.6,19.9,17.7,18.9,26.7,19.6,11.1,4.1,0.0,22.9,16.8,3.5,14.5,11.1,19.2,12.7,17.4,13.2,TB
Bo Nix,6.8,20.2,13.4,25.7,17.9,13.4,40.0,23.8,18.5,5.8,12.6,0.0,16.4,16.0,29.1,15.2,19.5,10.5,DEN
Brady Cook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,8.9,3.7,4.2,9.1,NYJ
Brandon Allen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,TEN
Brock Purdy,16.8,0.0,0.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,19.3,7.3,17.1,0.0,26.2,30.9,36.9,5.2,SF
Bryce Young,8.2,21.3,11.6,10.3,12.0,18.5,10.5,0.0,3.0,1.6,31.8,8.3,22.5,0.0,15.4,17.6,8.9,16.5,CAR
C.J. Stroud,8.7,15.0,10.4,18.4,28.8,0.0,13.7,21.7,4.4,0.0,0.0,0.0,9.0,12.6,23.4,11.5,13.8,17.3,HOU
Caleb Williams,24.2,17.0,29.1,11.8,0.0,19.9,4.7,11.8,38.7,25.1,10.3,21.7,9.5,14.9,19.0,21.0,23.0,16.6,CHI
Cam Ward,2.5,9.8,12.0,4.5,8.0,6.9,10.2,12.8,6.4,0.0,13.1,23.9,6.3,11.1,15.0,18.0,17.0,9.2,TEN
Chris Oladokun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,7.7,-1.7,KC
Clayton Tune,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7,3.7,GB
Dak Prescott,7.8,22.1,12.0,31.0,28.3,22.3,23.3,6.6,15.4,0.0,24.3,27.1,20.6,18.4,12.0,19.2,22.7,0.7,DAL
Davis Mills,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,6.2,27.7,16.4,14.5,0.0,0.0,0.0,0.0,0.0,2.6,HOU
Drake Maye,15.8,26.3,19.2,23.2,12.1,27.2,23.1,26.3,16.4,18.1,15.4,16.0,20.5,0.0,20.5,23.7,32.4,15.7,NE
J.J. McCarthy,22.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,18.9,14.7,6.0,0.5,0.0,20.4,23.5,8.3,0.0,8.0,MIN
Jacoby Brissett,0.0,0.2,0.0,0.0,0.0,20.7,19.8,0.0,24.8,19.4,21.9,18.7,19.6,19.0,20.6,10.6,16.5,15.6,ARI
Jared Goff,10.9,34.0,12.7,12.7,20.1,16.8,10.3,0.0,19.4,24.8,12.1,17.2,20.6,16.2,25.5,26.5,2.1,15.2,DET
Jaxson Dart,0.0,-0.3,0.3,19.8,15.6,23.6,28.4,19.4,27.2,26.3,0.0,0.0,13.6,0.0,22.1,0.0,25.1,20.4,NYG
Jimmy Garoppolo,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,-0.3,LAR
Joe Burrow,8.8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,23.4,5.5,29.0,20.4,21.1,CIN
Joe Flacco,12.2,8.8,3.7,1.3,0.0,18.8,26.0,24.3,30.7,0.0,9.9,9.6,0.0,0.0,0.0,0.2,1.2,0.2,CIN
Joe Milton III,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,0.0,5.2,DAL
