NAME,FPTS_WK1,FPTS_WK2,FPTS_WK3,FPTS_WK4,FPTS_WK5,FPTS_WK6,FPTS_WK7,FPTS_WK8,FPTS_WK9,FPTS_WK10,FPTS_WK11,FPTS_WK12,FPTS_WK13,FPTS_WK14,FPTS_WK15,FPTS_WK16,FPTS_WK17,FPTS_WK18,TEAM
AJ Dillon,1.0,1.9,0.0,1.7,1.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,PHI
Alec Ingold,1.1,3.3,0.0,0.0,0.0,3.5,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,1.4,1.9,0.0,1.3,MIA
Ameer Abdullah,0.0,0.0,0.0,0.0,6.6,2.6,3.7,1.8,1.5,1.8,0.0,0.0,0.0,2.9,9.7,0.0,1.4,4.5,IND
Andrew Beck,0.0,0.0,0.0,0.0,7.1,1.6,0.0,1.9,0.0,0.0,0.0,2.0,0.0,2.7,0.5,0.0,0.0,7.2,NYJ
Ashton Jeanty,12.0,7.4,6.3,33.5,15.9,16.6,4.4,0.0,19.9,15.3,9.4,24.8,12.1,5.8,8.2,31.8,9.3,12.4,LV
Audric Estimé,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,8.0,6.6,16.8,15.6,NO
Bhayshul Tuten,1.1,15.4,8.1,3.2,2.1,4.8,2.2,0.0,9.6,2.0,13.4,1.7,8.9,-1.5,9.3,0.0,0.0,8.3,JAX
Bijan Robinson,24.4,19.8,16.1,28.1,0.0,35.8,21.2,5.8,17.6,10.8,30.3,14.7,30.3,9.4,29.5,29.8,39.9,7.3,ATL
Blake Corum,2.6,10.4,5.3,3.6,1.3,2.3,5.3,0.0,5.8,5.6,1.5,2.4,14.1,26.1,13.1,13.1,1.8,7.9,LAR
Brady Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA
Brashard Smith,0.0,0.2,1.3,6.6,6.6,5.1,13.1,0.8,0.7,0.0,2.8,6.6,0.0,0.7,0.1,1.4,9.5,7.8,KC
Brian Robinson,4.7,2.9,2.2,2.1,1.2,3.8,3.6,0.0,11.3,11.5,2.4,5.4,2.6,0.0,2.1,2.0,3.8,0.9,SF
British Brooks,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,HOU
Bucky Irving,14.5,18.1,13.9,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,16.1,8.1,7.1,8.3,10.8,TB
C.J. Ham,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.3,0.0,7.7,MIN
Cam Akers,0.0,0.0,1.9,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA
Chase Brown,13.1,8.5,6.0,10.1,11.8,8.9,12.0,25.5,19.2,0.0,18.7,15.0,18.3,18.5,16.0,32.9,29.1,19.0,CIN
Chris Brooks,1.3,5.7,0.0,1.1,0.0,0.1,0.0,0.0,4.4,0.0,0.8,3.6,2.9,1.6,2.6,0.4,2.1,6.1,GB
Chris Rodriguez Jr.,0.0,0.0,3.9,5.9,0.7,0.0,7.2,0.2,12.5,7.6,9.5,0.0,10.1,5.2,0.0,13.9,0.0,15.3,WAS
Christian McCaffrey,23.2,22.7,24.0,26.1,27.9,24.1,39.1,9.8,34.3,17.6,35.1,27.2,17.4,0.0,15.7,32.6,28.1,11.7,SF
Chuba Hubbard,17.9,18.7,9.6,9.9,0.0,0.0,7.5,9.4,1.7,2.5,3.8,8.3,20.4,0.0,4.8,4.4,2.8,3.7,CAR
Corey Kiner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,3.2,0.2,4.8,ARI
D'Andre Swift,9.5,13.9,10.8,16.0,0.0,25.5,20.8,15.1,0.0,14.8,9.0,1.9,20.8,11.2,22.6,9.0,21.9,5.8,CHI
D'Ernest Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.5,1.3,NE
DJ Giddens,4.1,0.0,0.3,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,IND
Dameon Pierce,0.5,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,KC
Dare Ogunbowale,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.2,0.0,1.9,0.0,0.0,6.5,6.4,0.9,0.0,1.9,HOU
David Montgomery,8.3,13.1,29.4,1.2,18.2,8.1,5.9,0.0,11.0,10.1,4.7,6.7,12.8,14.3,9.2,1.4,6.0,6.5,DET
DeeJay Dallas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,JAX
Derrick Henry,29.2,2.3,10.7,7.8,9.3,14.0,0.0,19.1,13.1,11.4,20.2,22.8,17.4,11.2,10.0,22.8,45.6,12.6,BAL
Devin Singletary,0.9,1.0,1.1,2.8,3.4,1.0,0.2,3.8,7.1,10.3,17.7,4.7,19.2,0.0,2.4,5.6,17.0,10.6,NYG
Dylan Sampson,17.3,10.9,0.2,0.0,1.2,4.4,2.7,7.9,0.0,0.9,1.9,16.2,2.3,9.8,0.0,0.0,5.7,6.4,CLE
Emanuel Wilson,0.4,0.0,2.5,11.1,0.0,1.7,2.5,11.7,2.7,1.4,13.9,26.5,1.4,1.0,0.3,8.2,3.4,5.8,GB
Emari Demercado,0.0,0.0,0.0,10.1,6.1,0.1,0.0,0.0,8.8,13.4,4.0,0.0,0.0,0.0,2.1,3.0,4.0,6.7,ARI
Eric Gray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG
