NAME,FPTS_WK1,FPTS_WK2,FPTS_WK3,FPTS_WK4,FPTS_WK5,FPTS_WK6,FPTS_WK7,FPTS_WK8,FPTS_WK9,FPTS_WK10,FPTS_WK11,FPTS_WK12,FPTS_WK13,FPTS_WK14,FPTS_WK15,FPTS_WK16,FPTS_WK17,FPTS_WK18,TEAM
AJ Barner,1.2,10.8,3.3,12.2,24.3,10.1,1.9,0.0,11.5,0.3,17.1,3.8,7.7,5.7,5.7,15.0,13.3,3.4,SEA
Adam Trautman,1.5,10.0,0.0,5.2,2.1,0.0,0.0,0.0,4.5,1.2,1.8,0.0,7.7,3.7,0.0,3.4,4.4,0.0,DEN
Anthony Firkser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.7,0.0,8.0,0.0,2.2,DET
Austin Hooper,2.0,6.8,4.8,3.4,0.0,1.5,9.1,5.8,3.0,0.0,0.0,6.9,0.0,0.0,0.0,5.4,9.1,1.5,NE
Ben Sims,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,1.3,2.8,MIN
Ben Sinnott,0.0,1.7,0.0,0.0,0.0,0.0,0.0,3.2,0.0,7.4,0.0,0.0,0.0,1.8,4.6,1.5,5.9,2.3,WAS
Ben Yurosek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,MIN
Blake Whiteheart,0.0,0.0,0.0,0.0,0.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE
Brenden Bates,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.6,CLE
Brenton Strange,9.9,4.7,12.1,10.5,3.2,0.0,0.0,0.0,0.0,0.0,0.0,14.3,13.5,5.7,3.6,14.9,8.4,17.2,JAX
Brevyn Spann-Ford,0.0,1.3,0.0,0.0,0.0,1.2,0.0,1.9,0.0,0.0,1.4,7.4,0.0,1.7,0.0,0.0,4.1,5.0,DAL
CJ Dippre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NE
Cade Otton,0.0,5.5,0.0,3.9,12.1,10.1,13.5,8.0,0.0,17.2,4.8,6.1,2.9,4.9,0.0,3.5,7.3,22.4,TB
Cade Stover,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,5.2,2.7,0.0,1.9,HOU
