NAME,FPTS_WK1,FPTS_WK2,FPTS_WK3,FPTS_WK4,FPTS_WK5,FPTS_WK6,FPTS_WK7,FPTS_WK8,FPTS_WK9,FPTS_WK10,FPTS_WK11,FPTS_WK12,FPTS_WK13,FPTS_WK14,FPTS_WK15,FPTS_WK16,FPTS_WK17,FPTS_WK18,TEAM
Adam Thielen,2.0,4.6,0.0,3.1,0.0,0.0,2.0,0.0,0.0,3.6,1.6,0.0,0.0,1.4,1.7,8.9,3.4,7.3,PIT
Alec Pierce,4.6,10.8,10.7,0.0,0.0,6.8,14.8,8.9,17.5,18.4,0.0,3.6,17.8,13.0,2.6,24.6,0.0,29.2,IND
Amon-Ra St. Brown,8.5,39.2,20.7,26.0,18.0,13.7,20.6,0.0,18.7,16.8,6.2,29.9,0.0,15.2,41.4,9.4,14.8,24.9,DET
Andrei Iosivas,0.0,0.0,0.0,3.7,13.2,1.5,7.9,0.0,18.0,0.0,5.0,10.6,9.9,3.7,0.0,3.1,8.1,3.0,CIN
Brian Thomas Jr.,9.0,8.9,7.5,10.6,12.0,23.0,6.1,0.0,8.5,0.0,0.0,0.0,4.8,11.7,17.1,3.8,7.9,7.9,JAX
Britain Covey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,PHI
Brycen Tremayne,0.0,7.8,3.5,6.6,1.9,0.0,0.0,0.0,1.8,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,4.7,CAR
Calvin Austin III,17.0,3.2,12.4,3.3,0.0,0.0,0.0,6.8,10.6,3.4,1.5,7.6,0.0,4.1,0.0,0.0,0.0,14.5,PIT
Cedric Tillman,16.2,10.2,5.6,0.0,0.0,0.0,0.0,0.0,0.0,3.1,8.2,1.5,0.0,3.3,0.0,0.0,5.2,3.3,CLE
CeeDee Lamb,18.0,20.2,0.0,0.0,0.0,0.0,22.0,14.6,15.5,0.0,17.6,11.5,24.2,18.1,17.1,11.1,9.6,1.4,DAL
Chimere Dike,0.0,0.0,3.5,0.0,3.7,2.8,16.9,16.4,1.5,0.0,3.4,15.4,0.0,13.4,5.0,13.0,10.2,5.7,TEN
Chris Godwin Jr.,0.0,0.0,0.0,5.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,2.9,10.8,10.5,14.0,8.0,23.8,1.8,TB
Cooper Kupp,3.5,16.0,5.1,6.6,11.9,12.0,2.2,0.0,0.0,9.4,5.3,4.4,5.4,11.5,9.6,6.9,0.0,4.9,SEA
Courtland Sutton,18.1,0.0,23.8,19.1,17.9,2.7,16.7,10.7,10.0,5.4,9.9,0.0,17.2,12.2,24.3,20.6,8.0,1.5,DEN
DJ Moore,8.6,9.6,12.8,7.8,0.0,8.2,8.2,11.6,23.0,0.0,3.1,23.4,4.7,0.6,22.9,21.9,0.0,2.1,CHI
Dante Pettis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,6.3,11.0,NO
Darius Cooper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,2.9,4.9,0.0,0.0,6.3,PHI
Darius Slayton,0.0,8.1,7.0,7.4,4.1,0.0,0.0,4.6,11.2,12.9,0.0,3.3,14.1,0.0,9.3,0.0,5.6,9.4,NYG
Darnell Mooney,0.0,4.0,8.4,2.5,0.0,0.0,9.8,2.1,2.5,2.7,6.4,16.4,4.5,1.6,6.5,4.4,5.5,5.0,ATL
David Sills V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,2.1,9.6,9.5,0.0,13.8,0.0,6.7,2.1,ATL
DeMario Douglas,8.2,0.0,2.7,0.0,3.7,16.1,4.7,5.7,20.0,5.4,6.1,6.1,6.3,0.0,0.0,0.0,2.0,4.9,NE
DeVonta Smith,4.6,9.3,20.0,4.9,19.4,8.9,33.3,14.4,0.0,16.9,1.8,14.9,9.8,7.7,7.0,16.2,4.5,8.2,PHI
Deebo Samuel Sr.,22.6,17.4,4.9,20.1,23.6,5.4,0.0,4.2,9.4,12.9,20.7,0.0,11.1,6.7,7.3,6.5,11.3,4.1,WAS
Demarcus Robinson,0.0,0.0,0.0,3.0,6.9,6.4,0.0,4.5,0.0,6.4,2.3,1.8,0.0,0.0,5.6,10.3,5.0,5.4,SF
Derius Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,LAC
Devontez Walker,0.0,16.6,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.6,BAL
Drake London,13.5,5.9,10.5,25.0,0.0,31.8,8.2,0.0,38.8,24.4,18.9,0.0,0.0,0.0,0.0,5.7,0.0,17.8,ATL
Dyami Brown,8.8,17.6,2.7,0.0,3.5,4.0,7.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,JAX
Efton Chism III,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.5,NE
Elic Ayomanor,3.3,15.6,13.8,6.4,3.8,5.7,4.9,9.2,7.6,0.0,3.1,0.0,1.5,8.4,2.7,8.8,13.7,8.0,TEN
Emeka Egbuka,23.6,12.9,14.5,20.1,31.3,4.4,9.8,6.5,0.0,23.5,9.0,6.2,8.2,3.5,10.4,5.0,5.0,1.8,TB
Gabe Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.2,1.5,4.1,0.0,0.0,0.0,15.1,BUF
George Pickens,6.0,17.8,17.8,33.4,13.7,31.8,12.2,14.8,13.9,0.0,29.4,29.6,16.8,8.7,6.3,26.0,11.8,1.9,DAL
Gunner Olszewski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,5.3,0.0,0.0,0.0,0.0,2.9,18.2,NYG
Hollywood Brown,19.9,8.0,8.2,12.8,8.8,20.5,9.4,0.0,9.3,0.0,8.0,2.0,10.0,4.5,0.0,5.2,0.0,9.4,KC
Isaac TeSlaa,8.3,3.9,0.0,0.0,8.2,0.0,0.0,0.0,0.0,2.1,0.0,0.0,11.5,10.0,0.0,15.2,13.9,2.8,DET
Isaiah Bond,0.0,0.0,3.6,8.8,4.9,2.9,0.0,0.0,0.0,0.0,0.0,7.8,3.7,0.0,10.9,2.0,2.6,2.7,CLE
Isaiah Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,1.4,1.6,0.0,0.0,4.4,11.3,6.5,7.5,7.4,NYJ
Ja'Marr Chase,4.6,36.5,8.9,7.3,29.0,25.1,38.1,21.1,17.1,0.0,6.0,0.0,18.0,10.2,23.2,19.9,25.0,23.6,CIN
Jahan Dotson,8.9,0.0,0.0,0.0,3.4,2.7,0.0,11.0,0.0,0.0,6.3,0.0,2.2,1.3,0.0,4.3,0.0,7.0,PHI
Jahdae Walker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,5.0,11.6,CHI
Jakobi Meyers,17.7,12.8,9.3,7.0,7.2,7.9,0.0,0.0,6.3,7.1,11.4,15.0,21.3,14.8,12.1,8.6,7.9,9.4,JAX
Jakobie Keeney-James,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,GB
Jalen Coker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,1.9,5.1,11.2,6.2,17.4,0.0,14.0,7.7,3.6,16.7,CAR
Jalen McMillan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,3.6,18.4,2.1,TB
Jalen Nailor,3.8,6.1,6.7,9.2,7.2,0.0,5.7,0.0,2.6,23.4,2.6,0.0,0.0,6.0,19.5,0.0,0.0,7.9,MIN
Jalen Royals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,KC
James Proche II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,2.3,0.0,0.0,0.0,0.0,1.5,TEN
Jameson Williams,6.6,18.8,6.3,5.7,2.0,18.6,0.0,0.0,16.6,23.9,19.7,0.0,26.9,17.3,26.4,12.0,5.7,13.4,DET
Jauan Jennings,3.6,19.9,0.0,6.4,0.0,1.7,7.1,8.5,14.1,17.1,9.4,15.1,13.9,0.0,18.7,18.1,12.2,7.5,SF
Jaxon Smith-Njigba,19.4,18.3,20.6,13.0,27.2,30.2,26.3,0.0,22.0,20.3,20.6,37.1,4.3,28.1,18.3,23.6,16.2,14.4,SEA
Jayden Higgins,5.2,3.8,0.0,9.4,7.2,0.0,0.0,13.4,1.4,15.2,9.5,13.8,11.5,6.4,1.4,2.7,16.8,10.3,HOU
Jaylin Noel,0.0,0.0,0.0,0.0,9.8,0.0,11.7,11.3,0.0,7.5,2.2,1.9,0.0,3.3,0.0,0.0,14.6,2.3,HOU
Jerry Jeudy,11.6,9.1,2.7,7.8,3.5,9.3,3.7,0.0,0.0,19.8,5.1,2.9,5.6,16.6,4.2,4.2,10.4,4.2,CLE
Jimmy Horn Jr.,0.0,0.0,0.0,0.0,5.1,6.7,2.5,0.9,1.8,0.0,0.0,2.1,0.0,0.0,1.7,2.5,2.9,2.5,CAR
John Metchie III,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.6,13.5,18.5,5.7,7.4,6.9,0.0,7.1,5.0,NYJ
